gamename,year,month,avg,gain,peak,avg_peak_perc
Europa Universalis IV,2020,August,15930.75,-1839.24,25686,62.0211%
Europa Universalis IV,2020,July,17769.98,-3168.43,28016,63.428%
Europa Universalis IV,2020,June,20938.41,4827.5,47844,43.7639%
Europa Universalis IV,2020,May,16110.92,-554.31,26832,60.0437%
Europa Universalis IV,2020,April,16665.22,474.26,26508,62.8686%
Europa Universalis IV,2020,March,16190.96,1318.68,29916,54.1214%
Europa Universalis IV,2020,February,14872.28,1492.38,26619,55.8709%
Europa Universalis IV,2020,January,13379.9,979.29,26364,50.7506%
Europa Universalis IV,2019,December,12400.61,818.85,20805,59.604%
Europa Universalis IV,2019,November,11581.75,-66,20664,56.048%
Europa Universalis IV,2019,October,11647.75,96.92,21969,53.019%
Europa Universalis IV,2019,September,11550.84,509.3,22352,51.677%
Europa Universalis IV,2019,August,11041.54,-163.53,17988,61.3828%
Europa Universalis IV,2019,July,11205.07,269.12,19163,58.4724%
Europa Universalis IV,2019,June,10935.95,1306.38,18259,59.8935%
Europa Universalis IV,2019,May,9629.57,-1306.25,17479,55.0922%
Europa Universalis IV,2019,April,10935.81,-618.56,21256,51.4481%
Europa Universalis IV,2019,March,11554.37,-447.3,21663,53.3369%
Europa Universalis IV,2019,February,12001.68,-851.95,21939,54.7048%
Europa Universalis IV,2019,January,12853.63,320.7,23109,55.6217%
Europa Universalis IV,2018,December,12532.94,1197.14,23012,54.4626%
Europa Universalis IV,2018,November,11335.8,-1046.14,21254,53.3349%
